manual_relative_path	family	classification	selected	run_dirs	valid_runs	valid_parquets	valid_parquet_bytes	small_or_bad_parquets	positive_summary_files	explicit_failure_files	copied_files	copied_bytes	reason
orin_nx_deepx_m1_01/native_deepx_to_trt__resnet50__b052__orin_nx_deepx_m1_01__02fb172f4e75/20260719_164844	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	10610790	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt__resnet50__b052__orin_nx_deepx_m1_01__12ef7c420896/20260719_140821	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	10610802	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt__resnet50__b052__orin_nx_deepx_m1_01__16e4c5d9ea3b/20260719_193510	resnet50_b052_deepx_native	AUTO_INCLUDE_BEST_KNOWN_FAMILY	True	3	3	3	10610738	0	5	0	76	10993016	3 run(s) with nontrivial Parquet and positive energy; highest-scoring complete package for family
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b039/20260701_030510	-	REVIEW_VALID_UNCURATED	False	3	3	3	1729103	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b039/20260702_032840	-	REVIEW_VALID_UNCURATED	False	3	3	3	2178603	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260701_030818	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	1729195	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260702_033219	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2178663	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260703_001719	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2177103	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260703_140447	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2176983	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260707_192449	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2177063	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260708_230300	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2176991	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260709_121209	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2177131	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260710_003459	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2177031	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260716_204802	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2119267	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052/20260717_073408	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2119087	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052_orin_nx_deepx_m1_01/20260717_181454	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2177127	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052_orin_nx_deepx_m1_01/20260717_211934	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	1	1	1	725721	0	3	0	0	0	1 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b052_orin_nx_deepx_m1_01/20260718_070939	resnet50_b052_deepx_native	SUPERSEDED_VALID_KNOWN_FAMILY	False	1	1	1	725757	0	3	0	0	0	1 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b082/20260701_031125	-	REVIEW_VALID_UNCURATED	False	3	3	3	1513469	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_resnet50_b082/20260702_033558	-	REVIEW_VALID_UNCURATED	False	3	3	3	2178187	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b036/20260701_031349	-	REVIEW_VALID_UNCURATED	False	3	3	3	3664472	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b036/20260702_033937	-	REVIEW_VALID_UNCURATED	False	3	3	3	2177939	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260701_032332	-	REVIEW_VALID_UNCURATED	False	3	3	3	3664784	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260702_034317	-	REVIEW_VALID_UNCURATED	False	3	3	3	2177995	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260703_002058	-	REVIEW_VALID_UNCURATED	False	3	3	3	2177095	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260703_140827	-	REVIEW_VALID_UNCURATED	False	3	3	3	2177019	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260707_192828	-	REVIEW_VALID_UNCURATED	False	3	3	3	2177115	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260708_230638	-	REVIEW_VALID_UNCURATED	False	3	3	3	2177403	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260709_121547	-	REVIEW_VALID_UNCURATED	False	3	3	3	2177115	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260710_003838	-	REVIEW_VALID_UNCURATED	False	3	3	3	2177103	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260710_154558	-	REVIEW_VALID_UNCURATED	False	3	3	3	2178719	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260711_002152	-	REVIEW_VALID_UNCURATED	False	3	3	3	2178735	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260712_102939	-	REVIEW_VALID_UNCURATED	False	3	3	3	2178871	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_deepx_to_trt_yolo26s_b038/20260716_205142	-	REVIEW_VALID_UNCURATED	False	3	3	3	2119123	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
