model_id,case_id,run_id,variant,task,execution_role,backend,setup_id,producer_identity_sha256,producer_binding_eligible,technical_status,scientific_status,decision,delta,ci_low,margin,bootstrap_repetitions,cache_hit,error
mobilenet_v3_large,b135,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,fail,fail,-0.064,-0.064,0.01,0,False,
mobilenet_v3_large,b135,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,94832617144388a136d9bfc4066cd3ba10d00632fbe96bec4c547f738df71b0c,True,completed,pass,pass,-0.002,-0.006,0.01,500,False,
mobilenet_v3_large,b135,ort_tensorrt,full,classification,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,-0.002,-0.006,0.01,500,False,
mobilenet_v3_large,full,deepx_m1_full,full,classification,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,fail,fail,-0.066,-0.066,0.01,0,False,
mobilenet_v3_large,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_deepx_m1_01,23cee4c7d536a6a0b9b73d181b89c7170cc95a51133b5784a2c47238ccfa0cb5,True,completed,pass,pass,-0.002,-0.006,0.01,500,False,
mobilenet_v3_large,b135,hailo10,full,classification,,,orin_nx_hailo10_01,,False,completed,fail,fail,-0.136,-0.136,0.01,0,False,
mobilenet_v3_large,b135,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.144,-0.144,0.01,0,False,
mobilenet_v3_large,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo10_01,5534998aa4555ef8e8855bb6d7e296c54092c7231c35e83d88822eb447ea60a7,True,completed,pass,pass,0.0,0.0,0.01,500,False,
mobilenet_v3_large,b135,hailo8,full,classification,,,orin_nx_hailo8_01,,False,completed,fail,fail,-0.136,-0.136,0.01,0,False,
mobilenet_v3_large,b135,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,fail,fail,-0.14,-0.14,0.01,0,False,
mobilenet_v3_large,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo8_01,8ca533eccbdebd3b37399843619ce96d76a4aae72c1f1fc0942a6ee68f2803c0,True,completed,pass,pass,-0.002,-0.006,0.01,500,False,
regnet_x_1_6gf,b132,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,fail,fail,-0.022,-0.022,0.01,0,False,
regnet_x_1_6gf,b132,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,42d0c6f2902b308de9c24b13da9bafbc139e920cf00a55a8d9f82b84ca1c4afe,True,completed,pass,pass,0.0,0.0,0.01,0,False,
regnet_x_1_6gf,b132,ort_tensorrt,full,classification,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,0.0,0.0,0.01,0,False,
regnet_x_1_6gf,full,deepx_m1_full,full,classification,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,fail,fail,-0.026,-0.026,0.01,0,False,
regnet_x_1_6gf,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_deepx_m1_01,7d9baac1581e66995393b81fc3d67a2de83042bda802a8c1c773001db308c923,True,completed,pass,pass,0.0,0.0,0.01,0,False,
regnet_x_1_6gf,b132,hailo10,full,classification,,,orin_nx_hailo10_01,,False,completed,inconclusive,inconclusive,-0.006,-0.02,0.01,500,False,
regnet_x_1_6gf,b132,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.014,-0.014,0.01,0,False,
regnet_x_1_6gf,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo10_01,3641d3834b27485c1b048afdde0b4c033bda5626d44c29520fb488d32601361c,True,completed,pass,pass,0.0,0.0,0.01,0,False,
regnet_x_1_6gf,b132,hailo8,full,classification,,,orin_nx_hailo8_01,,False,completed,fail,fail,-0.012,-0.012,0.01,0,False,
regnet_x_1_6gf,b132,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,inconclusive,inconclusive,-0.01,-0.024,0.01,500,False,
regnet_x_1_6gf,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo8_01,b3b1aa42dc5862cbf207596d667d1dad4d6bdf7a13298f94517fddbbbecf3352,True,completed,pass,pass,0.0,0.0,0.01,0,False,
resnet50,b119,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,fail,fail,-0.052,-0.052,0.01,0,False,
resnet50,b119,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,84fe612cb966b424c14171a05e95c17a17c80af5d2feff255ed62975f672cfdb,True,completed,pass,pass,0.0,0.0,0.01,0,False,
resnet50,b119,ort_tensorrt,full,classification,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,0.0,0.0,0.01,0,False,
resnet50,full,deepx_m1_full,full,classification,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,fail,fail,-0.056,-0.056,0.01,0,False,
resnet50,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_deepx_m1_01,6831eb93dbbf57e57025f459f8992904080f27c4b5e0df3b6e853caf7ea9f7c1,True,completed,pass,pass,0.0,0.0,0.01,0,False,
resnet50,b119,hailo10,full,classification,,,orin_nx_hailo10_01,,False,completed,inconclusive,inconclusive,0.0,-0.012,0.01,500,False,
resnet50,b119,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,inconclusive,inconclusive,0.002,-0.012,0.01,500,False,
resnet50,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo10_01,b888a81bda285ffd5d53705bbc5094164634a53a2f0e769c4dc8579576ba64d7,True,completed,pass,pass,0.0,0.0,0.01,0,False,
resnet50,b119,hailo8,full,classification,,,orin_nx_hailo8_01,,False,completed,inconclusive,inconclusive,-0.002,-0.014,0.01,500,False,
resnet50,b119,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,pass,pass,0.004,-0.008,0.01,500,False,
resnet50,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo8_01,fac1d831ed221a53a193183b64bbb5dc4ab31c182de7c17603ab75e2dfa16268,True,completed,pass,pass,0.0,0.0,0.01,0,False,
yolo11l,b062,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,38157ed93c213f06a73a1a05be7bd5a888abaef103a43430e440870eff773614,True,completed,pass,pass,-0.00029634070057088513,-0.0009519269743579056,0.01,500,False,
yolo11l,b062,ort_tensorrt,full,detection,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,0.00045308184468806356,-0.0004229061051991332,0.01,500,False,
