model_id,boundary,backend,artifact_stage,status,reason,item_id,expectation,artifact_path,receipt_path,identity,evidence_origin,compiler_dispatch_allowed,runtime_artifact_available
resnet50,b119,hailo8,part1,HIT,existing_hailo_receipt_valid,b119:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/resnet50/benchmark_set/legacy_suite/b119/hailo/hailo8/part1/.hailo-generations/33d095397c744867b0a80b66a977ae14/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/resnet50/benchmark_set/legacy_suite/b119/hailo/hailo8/part1/.hailo-generations/33d095397c744867b0a80b66a977ae14/hailo_hef_build_receipt.json,bf22d4a36324334e90f0ca071bc5414bf577228e474d3dbc25cce84f31cbce9e,,False,True
resnet50,b119,hailo10h,part1,HIT,existing_hailo_receipt_valid,b119:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/resnet50/benchmark_set/legacy_suite/b119/hailo/hailo10/part1/.hailo-generations/6fa814f9186f46d49c2fb4e7cd89abde/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/resnet50/benchmark_set/legacy_suite/b119/hailo/hailo10/part1/.hailo-generations/6fa814f9186f46d49c2fb4e7cd89abde/hailo_hef_build_receipt.json,170d1fc922b2116bcbe0e0a17f54b051a3a29647990bf87d853c0ce9aad6696c,,False,True
resnet50,b119,deepx,part1,UNKNOWN,required_artifact_cache_probe_missing,b119:part1,unspecified,,,,,False,False
resnet50,b119,tensorrt,part2,MISS,evicted_by_retention,orin_nx_deepx_m1_01/b119,unspecified,,,,,True,False
resnet50,b119,tensorrt,part2,MISS,evicted_by_retention,orin_nx_hailo10_01/b119,unspecified,,,,,True,False
resnet50,b119,tensorrt,part2,MISS,evicted_by_retention,orin_nx_hailo8_01/b119,unspecified,,,,,True,False
resnet50,full,hailo8,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/resnet50/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/39f4a9e53d6c45bd9f4e57da6fc80100/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/resnet50/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/39f4a9e53d6c45bd9f4e57da6fc80100/hailo_hef_build_receipt.json,34162279379dd4000bc0f15259a9182a76b95a2abc5b31516572e6a2eaf23f9e,,False,True
resnet50,full,hailo10h,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/resnet50/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/9807d7004df7470eb35a4cf380807d6c/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/resnet50/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/9807d7004df7470eb35a4cf380807d6c/hailo_hef_build_receipt.json,536c0bef265e645bee5d3ba5139aa5605724e678d72f644bf33b167c70d9a4ad,,False,True
resnet50,full,deepx,full,MISS,not_found,full,unspecified,,,deepx_m1_full_current_scale_only_v2_fafddd0db61efacbb522435e90af5b3d,,True,False
resnet50,full,tensorrt,full,MISS,evicted_by_retention,orin_nx_deepx_m1_01/full,unspecified,,,,,True,False
resnet50,full,tensorrt,full,MISS,evicted_by_retention,orin_nx_hailo10_01/full,unspecified,,,,,True,False
resnet50,full,tensorrt,full,MISS,evicted_by_retention,orin_nx_hailo8_01/full,unspecified,,,,,True,False
mobilenet_v3_large,b135,hailo8,part1,HIT,existing_hailo_receipt_valid,b135:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/b135/hailo/hailo8/part1/.hailo-generations/eb130f0c5874426ebd1ef2e581490ce5/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/b135/hailo/hailo8/part1/.hailo-generations/eb130f0c5874426ebd1ef2e581490ce5/hailo_hef_build_receipt.json,0ca1e34fea903be8b661c9aadd983a3915fed7a24ef3dc14d1e56e6f8d7a97f9,,False,True
mobilenet_v3_large,b135,hailo10h,part1,HIT,existing_hailo_receipt_valid,b135:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/b135/hailo/hailo10/part1/.hailo-generations/12f4b89739294dec81a56ffa731efff9/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/b135/hailo/hailo10/part1/.hailo-generations/12f4b89739294dec81a56ffa731efff9/hailo_hef_build_receipt.json,6152e21c96c25ac7b9abcd46f6f711b95aaf268bd6b7e6f975bc105b5fdbb040,,False,True
mobilenet_v3_large,b135,deepx,part1,UNKNOWN,required_artifact_cache_probe_missing,b135:part1,unspecified,,,,,False,False
mobilenet_v3_large,b135,tensorrt,part2,HIT,compatible_receipt,orin_nx_deepx_m1_01/b135,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/mobilenet_v3_large-a3603057150e0f6d/splits/b135/part2/789cf35875ab925fcab4f8f1d5b8f10959a2e66039cd1b868f11fd326019b7bd/fp16/part2_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/mobilenet_v3_large-a3603057150e0f6d/splits/b135/part2/789cf35875ab925fcab4f8f1d5b8f10959a2e66039cd1b868f11fd326019b7bd/fp16/engine_build_receipt.json,2b809109e6e5ef1190d492da3720c1ede54e6ad1d7d41e4458f6c3d1c116f3d6,,False,True
mobilenet_v3_large,b135,tensorrt,part2,MISS,source_onnx_mismatch,orin_nx_hailo10_01/b135,unspecified,,,,,True,False
mobilenet_v3_large,b135,tensorrt,part2,MISS,source_onnx_mismatch,orin_nx_hailo8_01/b135,unspecified,,,,,True,False
mobilenet_v3_large,full,hailo8,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/c38ab1294a324214a244d20ef041ebf5/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/c38ab1294a324214a244d20ef041ebf5/hailo_hef_build_receipt.json,a911084ca887d0a74d73addc6d654ea6faec61876a51b4ded92e9a49ed612070,,False,True
