# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      0      0      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      0      0      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C     37     14      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C     70     30      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C     71     31      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C     42     18      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      0      0      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      0      0      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      0      0      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      0      0      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      0      0      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       2887     G      0      0      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      -      -      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C     24      9      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      1      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
    0       2687     G      -      -      -      -      -      -    Xorg           
    0       2887     G      -      -      -      -      -      -    gnome-shell    
    0    1506015     C      0      0      -      -      -      -    python         
