image_id,label,cpu_hef_top1,gpu_hef_top1,source_float_top1,build_float_top1,parsed_native_top1,quantized_top1
n02788148/ILSVRC2012_val_00049054.JPEG,421,421,421,421,421,421,421
n02098413/ILSVRC2012_val_00031453.JPEG,204,155,204,204,204,204,155
n02086910/ILSVRC2012_val_00040564.JPEG,157,151,151,151,151,151,151
n02102177/ILSVRC2012_val_00006947.JPEG,218,217,217,218,218,218,217
n01817953/ILSVRC2012_val_00002791.JPEG,87,87,87,87,87,87,87
n03297495/ILSVRC2012_val_00020583.JPEG,550,786,550,550,550,550,708
n01818515/ILSVRC2012_val_00036879.JPEG,88,88,88,88,88,88,88
n04326547/ILSVRC2012_val_00013931.JPEG,825,82,912,825,825,825,716
n04086273/ILSVRC2012_val_00015260.JPEG,763,763,763,763,763,763,763
n04251144/ILSVRC2012_val_00010908.JPEG,801,801,801,801,801,801,801
n04597913/ILSVRC2012_val_00041290.JPEG,910,112,788,910,910,910,910
n04192698/ILSVRC2012_val_00026513.JPEG,787,787,787,787,787,787,787
n01664065/ILSVRC2012_val_00022469.JPEG,33,33,33,33,33,33,33
n04372370/ILSVRC2012_val_00035646.JPEG,844,846,619,846,846,846,619
n03065424/ILSVRC2012_val_00020012.JPEG,506,506,506,506,506,506,506
n03459775/ILSVRC2012_val_00041657.JPEG,581,468,656,656,656,656,656
