         68421 function calls (66861 primitive calls) in 0.990 seconds

   Ordered by: cumulative time
   List reduced from 238 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.001    0.000    0.990    0.050 native_detection_postprocess.py:4551(process)
       20    0.001    0.000    0.786    0.039 native_detection_postprocess.py:2400(process)
       20    0.007    0.000    0.734    0.037 yolo.py:1777(postprocess)
       20    0.017    0.001    0.710    0.035 yolo.py:1206(_decode_multiscale_head)
       20    0.050    0.002    0.681    0.034 yolo.py:1088(_decode_multiscale_head_once)
      240    0.401    0.002    0.580    0.002 yolo.py:117(_sigmoid)
      500    0.001    0.000    0.203    0.000 fromnumeric.py:53(_wrapfunc)
      320    0.001    0.000    0.179    0.001 fromnumeric.py:2100(clip)
      320    0.000    0.000    0.178    0.001 {method 'clip' of 'numpy.ndarray' objects}
      320    0.178    0.001    0.178    0.001 _methods.py:90(_clip)
       20    0.001    0.000    0.169    0.008 native_detection_postprocess.py:2975(_tensor_content_sha256)
      400    0.137    0.000    0.137    0.000 {built-in method _hashlib.openssl_sha256}
       20    0.002    0.000    0.042    0.002 native_detection_postprocess.py:1057(verify_frozen_postprocess_contract)
       60    0.029    0.000    0.029    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
       20    0.001    0.000    0.026    0.001 native_detection_postprocess.py:818(_implementation_artifacts_match)
       20    0.001    0.000    0.024    0.001 native_detection_postprocess.py:637(_implementation_artifacts)
       60    0.000    0.000    0.024    0.000 fromnumeric.py:1140(argmax)
       20    0.017    0.001    0.023    0.001 native_detection_postprocess.py:2657(_canonicalize_yolov7_heads)
       60    0.023    0.000    0.023    0.000 {method 'argmax' of 'numpy.ndarray' objects}
      280    0.001    0.000    0.019    0.000 __init__.py:183(dumps)
      280    0.001    0.000    0.017    0.000 encoder.py:182(encode)
      200    0.001    0.000    0.017    0.000 native_detection_postprocess.py:164(canonical_json_sha256)
      280    0.016    0.000    0.016    0.000 encoder.py:204(iterencode)
      200    0.001    0.000    0.015    0.000 native_detection_postprocess.py:156(canonical_json_bytes)
       60    0.001    0.000    0.012    0.000 native_detection_postprocess.py:168(file_sha256)
       60    0.007    0.000    0.012    0.000 yolo.py:152(_xywh_to_xyxy)
       40    0.001    0.000    0.010    0.000 yolo.py:619(verify_yolov7_decoder_contract)
