claim_kind,model_id,backend,setup_id,reason,task,case_id,variant,row_status,eligibility_status
performance,resnet50,deepx_m1,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,full,full,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b001,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b003,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b008,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b009,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b020,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b022,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b027,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b042,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b052,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b054,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b056,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b068,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b074,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b078,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b091,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b095,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b107,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b112,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b118,split,available,contract_fail_or_unavailable
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,classification,b119,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,full,full,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b001,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b003,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b008,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b009,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b020,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b022,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b027,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b042,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b052,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b054,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b056,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b068,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b074,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b078,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b091,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b095,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b107,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b112,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b118,split,available,contract_fail_or_unavailable
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,classification,b119,split,available,contract_fail_or_unavailable
performance,resnet50,hailo8,orin_nx_hailo8_01,contract_fail_or_unavailable,classification,full,full,available,contract_fail_or_unavailable
