claim_kind,model_id,backend,setup_id,reason,count
performance,resnet50,deepx_m1,orin_nx_deepx_m1_01,contract_fail_or_unavailable,1
performance,resnet50,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,20
performance,resnet50,hailo10,orin_nx_hailo10_01,contract_fail_or_unavailable,1
performance,resnet50,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,20
performance,resnet50,hailo8,orin_nx_hailo8_01,contract_fail_or_unavailable,1
performance,resnet50,hailo8_to_tensorrt,orin_nx_hailo8_01,contract_fail_or_unavailable,20
performance,resnet50,tensorrt,orin_nx_deepx_m1_01,screening_only,21
performance,yolo26s,deepx_m1,orin_nx_deepx_m1_01,contract_fail_or_unavailable,1
performance,yolo26s,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,9
performance,yolo26s,hailo10,orin_nx_hailo10_01,contract_fail_or_unavailable,1
performance,yolo26s,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,9
performance,yolo26s,hailo8,orin_nx_hailo8_01,contract_fail_or_unavailable,1
performance,yolo26s,hailo8_to_tensorrt,orin_nx_hailo8_01,contract_fail_or_unavailable,9
performance,yolo26s,tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,10
performance,yolov7_paper,deepx_m1,orin_nx_deepx_m1_01,contract_fail_or_unavailable,1
performance,yolov7_paper,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,20
performance,yolov7_paper,hailo10,orin_nx_hailo10_01,contract_fail_or_unavailable,1
performance,yolov7_paper,hailo10_to_tensorrt,orin_nx_hailo10_01,contract_fail_or_unavailable,20
performance,yolov7_paper,hailo8,orin_nx_hailo8_01,contract_fail_or_unavailable,1
performance,yolov7_paper,hailo8_to_tensorrt,orin_nx_hailo8_01,contract_fail_or_unavailable,18
performance,yolov7_paper,hailo8_to_tensorrt,orin_nx_hailo8_01,terminal_process_failure,2
performance,yolov7_paper,tensorrt,orin_nx_deepx_m1_01,contract_fail_or_unavailable,21
