model_id,direction,runner_regime,setup_id,runtime_precision_identity,comparison_backend,comparison_output_endpoint_id,comparison_endpoint_contract_hash,e2e_scope,comparison_endpoint_stratum,measurement_concurrency,completed_task_stage,completed_task_completion_mode,frozen_host_postprocess_contract_sha256,host_postprocessing_available,host_postprocess_required,evaluation_role,method_id,method_label,cohort,cohort_semantics,declared_candidate_count,cohort_candidate_count,paired_candidate_count,minimum_candidates_required,candidate_coverage_fraction,declared_universe_complete_for_cohort,spearman_rho,kendall_tau_b,correlation_scope,correlation_claim_eligible,global_hit_at_1,global_regret_at_1,global_top1_status,status
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,cut_bytes_only,Cut bytes only,technical,technically successful numeric observations,20,19,19,10,0.95,False,0.9814952199279023,0.934158790628244,diagnostic_measured_cohort_subset,False,,,unavailable_incomplete_declared_universe,diagnostic_available
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,cut_bytes_only,Cut bytes only,quality_pass,technical observations with task-quality pass,20,0,0,10,0.0,False,,,unavailable,False,,,filtered_sensitivity_cohort_not_global_universe,insufficient_candidates
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,cut_bytes_only,Cut bytes only,quality_pass_or_inconclusive,technical observations with task-quality pass or inconclusive,20,0,0,10,0.0,False,,,unavailable,False,,,filtered_sensitivity_cohort_not_global_universe,insufficient_candidates
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,weighted_score,Weighted score,technical,technically successful numeric observations,20,19,19,10,0.95,False,0.2807017543859649,0.1695906432748538,diagnostic_measured_cohort_subset,False,,,unavailable_incomplete_declared_universe,diagnostic_available
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,weighted_score,Weighted score,quality_pass,technical observations with task-quality pass,20,0,0,10,0.0,False,,,unavailable,False,,,filtered_sensitivity_cohort_not_global_universe,insufficient_candidates
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,weighted_score,Weighted score,quality_pass_or_inconclusive,technical observations with task-quality pass or inconclusive,20,0,0,10,0.0,False,,,unavailable,False,,,filtered_sensitivity_cohort_not_global_universe,insufficient_candidates
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,cycle_time_no_handover,Cycle time without handover,technical,technically successful numeric observations,20,19,19,10,0.95,False,-0.06491228070175438,-0.04093567251461988,diagnostic_measured_cohort_subset,False,,,unavailable_incomplete_declared_universe,diagnostic_available
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,cycle_time_no_handover,Cycle time without handover,quality_pass,technical observations with task-quality pass,20,0,0,10,0.0,False,,,unavailable,False,,,filtered_sensitivity_cohort_not_global_universe,insufficient_candidates
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,cycle_time_no_handover,Cycle time without handover,quality_pass_or_inconclusive,technical observations with task-quality pass or inconclusive,20,0,0,10,0.0,False,,,unavailable,False,,,filtered_sensitivity_cohort_not_global_universe,insufficient_candidates
resnet50,deepx_m1_to_tensorrt,generic,orin_nx_deepx_m1_01,,,,,,,,,,,false,false,development,cycle_time_with_handover,Cycle time with runner/direction handover,technical,technically successful numeric observations,20,19,19,10,0.95,False,0.39824561403508774,0.23976608187134502,diagnostic_measured_cohort_subset,False,,,unavailable_incomplete_declared_universe,diagnostic_available
