backend,case_id,contract_comparison_conflicts,decomposition_source,full_onnx_AP50,full_onnx_AP75,full_onnx_COCO_AP_50_95,full_onnx_Top1,full_onnx_Top5,model,reference_identity,setup_id,split_AP50,split_AP75,split_COCO_AP_50_95,split_Top1,split_Top5,split_extra_loss_AP50,split_extra_loss_AP75,split_extra_loss_COCO_AP_50_95,split_extra_loss_Top1,split_extra_loss_Top5,status,task,total_split_loss_AP50,total_split_loss_AP75,total_split_loss_COCO_AP_50_95,total_split_loss_Top1,total_split_loss_Top5,vendor_full_AP50,vendor_full_AP75,vendor_full_COCO_AP_50_95,vendor_full_Top1,vendor_full_Top5,vendor_loss_AP50,vendor_loss_AP75,vendor_loss_COCO_AP_50_95,vendor_loss_Top1,vendor_loss_Top5
deepx,b001,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.766,0.936,,,,-0.03600000000000003,-0.0119999999999999,ok,classification,,,,-0.04600000000000004,-0.015999999999999903,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b003,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.764,0.926,,,,-0.038000000000000034,-0.02199999999999991,ok,classification,,,,-0.04800000000000004,-0.025999999999999912,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b008,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.768,0.93,,,,-0.03400000000000003,-0.017999999999999905,ok,classification,,,,-0.04400000000000004,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b009,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.76,0.93,,,,-0.04200000000000004,-0.017999999999999905,ok,classification,,,,-0.052000000000000046,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b020,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.764,0.932,,,,-0.038000000000000034,-0.015999999999999903,ok,classification,,,,-0.04800000000000004,-0.019999999999999907,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b022,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.764,0.93,,,,-0.038000000000000034,-0.017999999999999905,ok,classification,,,,-0.04800000000000004,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b027,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.768,0.928,,,,-0.03400000000000003,-0.019999999999999907,ok,classification,,,,-0.04400000000000004,-0.02399999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b042,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.77,0.928,,,,-0.03200000000000003,-0.019999999999999907,ok,classification,,,,-0.04200000000000004,-0.02399999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b052,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.768,0.93,,,,-0.03400000000000003,-0.017999999999999905,ok,classification,,,,-0.04400000000000004,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b054,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.766,0.93,,,,-0.03600000000000003,-0.017999999999999905,ok,classification,,,,-0.04600000000000004,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
