backend,bootstrap_skipped_reason_AP50,bootstrap_skipped_reason_AP75,bootstrap_skipped_reason_COCO_AP_50_95,bootstrap_skipped_reason_Top1,bootstrap_skipped_reason_Top5,case_id,decision_AP50,decision_AP75,decision_COCO_AP_50_95,decision_Top1,decision_Top5,delta_vs_full_onnx_AP50,delta_vs_full_onnx_AP75,delta_vs_full_onnx_COCO_AP_50_95,delta_vs_full_onnx_Top1,delta_vs_full_onnx_Top5,model,reference_AP50,reference_AP75,reference_COCO_AP_50_95,reference_Top1,reference_Top5,reference_comparison_source,reference_identity,row_AP50,row_AP75,row_COCO_AP_50_95,row_Top1,row_Top5,setup_id,status,task,variant
deepx,,,,,,full,,,,inconclusive,pass,,,,-0.01,-0.004,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.802,0.948,orin_nx_deepx_m1_01,ok,classification,vendor_full
deepx,,,,,point_estimate_below_non_inferiority_margin,b001,,,,fail,fail,,,,-0.046,-0.016,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.766,0.936,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b003,,,,fail,fail,,,,-0.048,-0.026,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.764,0.926,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b008,,,,fail,fail,,,,-0.044,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.768,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b009,,,,fail,fail,,,,-0.052,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.76,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b020,,,,fail,fail,,,,-0.048,-0.02,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.764,0.932,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b022,,,,fail,fail,,,,-0.048,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.764,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b027,,,,fail,fail,,,,-0.044,-0.024,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.768,0.928,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b042,,,,fail,fail,,,,-0.042,-0.024,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.77,0.928,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b052,,,,fail,fail,,,,-0.044,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.768,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b054,,,,fail,fail,,,,-0.046,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.766,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b056,,,,fail,fail,,,,-0.044,-0.024,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.768,0.928,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b068,,,,fail,fail,,,,-0.044,-0.024,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.768,0.928,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b074,,,,fail,fail,,,,-0.044,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.768,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b078,,,,fail,fail,,,,-0.044,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.768,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b091,,,,fail,fail,,,,-0.046,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.766,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b095,,,,fail,fail,,,,-0.048,-0.022,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.764,0.93,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b107,,,,fail,fail,,,,-0.048,-0.02,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.764,0.932,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b112,,,,fail,fail,,,,-0.052,-0.02,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.76,0.932,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b118,,,,fail,fail,,,,-0.05,-0.02,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.762,0.932,orin_nx_deepx_m1_01,ok,classification,split
deepx,,,,,point_estimate_below_non_inferiority_margin,b119,,,,fail,fail,,,,-0.052,-0.024,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.76,0.928,orin_nx_deepx_m1_01,ok,classification,split
hailo10h,,,,,,b119,,,,inconclusive,pass,,,,0.0,-0.004,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.812,0.948,orin_nx_hailo10_01,ok,classification,vendor_full
hailo10h,,,,,point_estimate_below_non_inferiority_margin,b001,,,,fail,pass,,,,-0.012,-0.004,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.8,0.948,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,point_estimate_below_non_inferiority_margin,b003,,,,fail,pass,,,,-0.012,0.0,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.8,0.952,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b008,,,,inconclusive,inconclusive,,,,0.002,-0.006,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.814,0.946,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b009,,,,inconclusive,pass,,,,0.0,-0.004,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.812,0.948,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b020,,,,inconclusive,inconclusive,,,,-0.002,-0.006,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.81,0.946,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b022,,,,inconclusive,inconclusive,,,,0.008,-0.006,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.82,0.946,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b027,,,,inconclusive,inconclusive,,,,-0.008,-0.006,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.804,0.946,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,point_estimate_below_non_inferiority_margin,b042,,,,fail,pass,,,,-0.012,-0.008,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.8,0.944,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,point_estimate_below_non_inferiority_margin,b052,,,,fail,pass,,,,-0.012,-0.008,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.8,0.944,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b054,,,,inconclusive,inconclusive,,,,-0.008,-0.01,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.804,0.942,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b056,,,,inconclusive,inconclusive,,,,-0.006,-0.006,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.806,0.946,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b068,,,,inconclusive,pass,,,,-0.008,0.0,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.804,0.952,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b074,,,,inconclusive,pass,,,,0.0,-0.002,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.812,0.95,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b078,,,,inconclusive,pass,,,,-0.006,-0.002,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.806,0.95,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b091,,,,inconclusive,pass,,,,-0.008,-0.002,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.804,0.95,orin_nx_hailo10_01,ok,classification,split
hailo10h,,,,,,b095,,,,inconclusive,inconclusive,,,,-0.002,-0.004,resnet50,,,,0.812,0.952,paired_central_quality_result,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,,,,0.81,0.948,orin_nx_hailo10_01,ok,classification,split
