claim_kind,model_id,backend,setup_id,reason,task,case_id,variant,row_status,eligibility_status
performance,yolov7_paper,hailo8,orin_nx_hailo8_01,contract_fail_or_unavailable,detection,full,full,available,contract_fail_or_unavailable
performance,yolov7_paper,hailo8,unknown_setup,contract_fail_or_unavailable,detection,full,full,available,contract_fail_or_unavailable
performance,yolov7_paper,hailo8_to_tensorrt,orin_nx_hailo8_01,contract_fail_or_unavailable,detection,b066,split,available,contract_fail_or_unavailable
performance,yolov7_paper,hailo8_to_tensorrt,unknown_setup,contract_fail_or_unavailable,detection,b066,split,available,contract_fail_or_unavailable
performance,yolov7_paper,tensorrt,orin_nx_hailo8_01,contract_fail_or_unavailable,detection,b066,split,available,contract_fail_or_unavailable
performance,yolov7_paper,tensorrt,orin_nx_hailo8_01,contract_fail_or_unavailable,detection,full,full,available,contract_fail_or_unavailable
performance,yolov7_paper,tensorrt,unknown_setup,contract_fail_or_unavailable,detection,b066,split,available,contract_fail_or_unavailable
performance,yolov7_paper,tensorrt,unknown_setup,contract_fail_or_unavailable,detection,full,full,available,contract_fail_or_unavailable
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,effective_command_window_not_verified,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,exact_runtime_work_units_missing,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,final_energy_gate_not_passed,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,measurement_execution_failed,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,native_output_endpoint_not_verified,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,native_quality_claim_result_not_verified,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,postprocess_not_ok,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,raw_input_energy_not_primary,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,scientific_primary_unavailable_or_unverified,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,screening_energy_policy_nonclaimable,detection,b066,native_split,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,effective_command_window_not_verified,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,exact_runtime_work_units_missing,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,final_energy_gate_not_passed,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,measurement_execution_failed,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,native_accuracy_gate_not_passed,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,postprocess_not_ok,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,raw_input_energy_not_primary,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,scientific_primary_unavailable_or_unverified,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,screening_energy_policy_nonclaimable,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,effective_command_window_not_verified,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,exact_runtime_work_units_missing,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,final_energy_gate_not_passed,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,measurement_execution_failed,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,native_quality_claim_result_not_verified,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,postprocess_not_ok,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,raw_input_energy_not_primary,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,scientific_primary_unavailable_or_unverified,detection,full,native_full_baseline,measurement_failed,measurement_failed
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,screening_energy_policy_nonclaimable,detection,full,native_full_baseline,measurement_failed,measurement_failed
