claim_kind,dimension,value,count
performance,model,yolov7_paper,8
performance,backend,hailo8,2
performance,backend,hailo8_to_tensorrt,2
performance,backend,tensorrt,4
performance,setup,orin_nx_hailo8_01,4
performance,setup,unknown_setup,4
performance,reason,contract_fail_or_unavailable,8
energy,model,yolov7_paper,28
energy,backend,hailo8_to_trt,10
energy,backend,native_full_hailo8,9
energy,backend,native_full_tensorrt,9
energy,setup,orin_nx_hailo8_01,28
energy,reason,effective_command_window_not_verified,3
energy,reason,exact_runtime_work_units_missing,3
energy,reason,final_energy_gate_not_passed,3
energy,reason,measurement_execution_failed,3
energy,reason,native_accuracy_gate_not_passed,1
energy,reason,native_output_endpoint_not_verified,1
energy,reason,native_quality_claim_result_not_verified,2
energy,reason,postprocess_not_ok,3
energy,reason,raw_input_energy_not_primary,3
energy,reason,scientific_primary_unavailable_or_unverified,3
energy,reason,screening_energy_policy_nonclaimable,3
